Date,Close
2021-03-15,2066.489990
2021-03-16,2092.520020
2021-03-17,2091.080078
2021-03-18,2036.219971
2021-03-19,2043.199951
2021-03-22,2038.589966
2021-03-23,2052.959961
2021-03-24,2045.060059
2021-03-25,2044.359985
2021-03-26,2035.550049
2021-03-29,2055.949951
2021-03-30,2055.540039
2021-03-31,2068.629883
2021-04-01,2137.750000
2021-04-05,2225.550049
2021-04-06,2224.750000
2021-04-07,2249.679932
2021-04-08,2265.439941
2021-04-09,2285.879883
2021-04-12,2254.790039
2021-04-13,2267.270020
2021-04-14,2254.840088
2021-04-15,2296.659912
2021-04-16,2297.760010
2021-04-19,2302.399902
2021-04-20,2293.629883
2021-04-21,2293.290039
2021-04-22,2267.919922
2021-04-23,2315.300049
2021-04-26,2326.739990
2021-04-27,2307.120117
2021-04-28,2379.909912
2021-04-29,2429.889893
2021-04-30,2410.120117
2021-05-03,2395.169922
2021-05-04,2354.250000
2021-05-05,2356.739990
2021-05-06,2381.350098
2021-05-07,2398.689941
2021-05-10,2341.659912
2021-05-11,2308.760010
2021-05-12,2239.080078
2021-05-13,2261.969971
2021-05-14,2316.159912
2021-05-17,2321.409912
2021-05-18,2303.429932
2021-05-19,2308.709961
2021-05-20,2356.090088
2021-05-21,2345.100098
2021-05-24,2406.669922
2021-05-25,2409.070068
2021-05-26,2433.530029
2021-05-27,2402.510010
2021-05-28,2411.560059
2021-06-01,2429.810059
2021-06-02,2421.280029
2021-06-03,2404.610107
2021-06-04,2451.760010
2021-06-07,2466.090088
2021-06-08,2482.850098
2021-06-09,2491.399902
2021-06-10,2521.600098
2021-06-11,2513.929932
2021-06-14,2527.040039
2021-06-15,2520.659912
2021-06-16,2513.929932
2021-06-17,2527.419922
2021-06-18,2511.350098
2021-06-21,2529.100098
2021-06-22,2539.989990
2021-06-23,2529.229980
2021-06-24,2545.639893
2021-06-25,2539.899902
2021-06-28,2536.389893
2021-06-29,2520.370117
2021-06-30,2506.320068
2021-07-01,2527.370117
2021-07-02,2574.379883
2021-07-06,2595.419922
2021-07-07,2601.550049
2021-07-08,2583.540039
2021-07-09,2591.489990
2021-07-12,2611.280029
2021-07-13,2619.889893
2021-07-14,2641.649902
2021-07-15,2625.330078
2021-07-16,2636.909912
2021-07-19,2585.080078
2021-07-20,2622.030029
2021-07-21,2652.010010
2021-07-22,2666.570068
2021-07-23,2756.320068
2021-07-26,2792.889893
2021-07-27,2735.929932
2021-07-28,2727.629883
2021-07-29,2730.810059
2021-07-30,2704.419922
2021-08-02,2719.790039
2021-08-03,2725.600098
2021-08-04,2720.570068
2021-08-05,2738.800049
2021-08-06,2740.719971
2021-08-09,2760.040039
2021-08-10,2761.929932
2021-08-11,2753.790039
2021-08-12,2767.790039
2021-08-13,2768.120117
2021-08-16,2778.320068
2021-08-17,2746.010010
2021-08-18,2731.399902
2021-08-19,2738.270020
2021-08-20,2768.739990
2021-08-23,2821.989990
2021-08-24,2847.969971
2021-08-25,2859.000000
2021-08-26,2842.459961
2021-08-27,2891.010010
2021-08-30,2909.389893
2021-08-31,2909.239990
2021-09-01,2916.840088
2021-09-02,2884.379883
2021-09-03,2895.500000
2021-09-07,2910.379883
2021-09-08,2897.669922
2021-09-09,2898.270020
2021-09-10,2838.419922
2021-09-13,2869.300049
2021-09-14,2868.120117
2021-09-15,2904.120117
2021-09-16,2887.469971
2021-09-17,2829.270020
2021-09-20,2780.340088
2021-09-21,2792.929932
2021-09-22,2818.770020
2021-09-23,2836.530029
2021-09-24,2852.659912
2021-09-27,2830.020020
2021-09-28,2723.679932
2021-09-29,2690.419922
2021-09-30,2665.310059
2021-10-01,2729.250000
2021-10-04,2675.300049
2021-10-05,2723.540039
